Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
ORIG-QINGDAO-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (QINGDAO),295.00,USD,Per Container,QINGDAO,QINGDAO port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1633,ORIGIN_COMPONENT,EXW VGM Filing (QINGDAO),44.00,USD,Per Container,QINGDAO,QINGDAO port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1634,ORIGIN_COMPONENT,EXW Seal Fee (QINGDAO),36.00,USD,Per Container,QINGDAO,QINGDAO port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1635,ORIGIN_COMPONENT,EXW Export Documentation (QINGDAO),68.00,USD,Per Container,QINGDAO,QINGDAO port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (QINGDAO),92.00,USD,Per Container,QINGDAO,QINGDAO port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (QINGDAO),115.00,USD,Per Container,QINGDAO,QINGDAO port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (WEIFANG),295.00,USD,Per Container,WEIFANG,WEIFANG port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1633,ORIGIN_COMPONENT,EXW VGM Filing (WEIFANG),44.00,USD,Per Container,WEIFANG,WEIFANG port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1634,ORIGIN_COMPONENT,EXW Seal Fee (WEIFANG),36.00,USD,Per Container,WEIFANG,WEIFANG port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1635,ORIGIN_COMPONENT,EXW Export Documentation (WEIFANG),68.00,USD,Per Container,WEIFANG,WEIFANG port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (WEIFANG),92.00,USD,Per Container,WEIFANG,WEIFANG port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (WEIFANG),115.00,USD,Per Container,WEIFANG,WEIFANG port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (YANTAI),295.00,USD,Per Container,YANTAI,YANTAI port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1633,ORIGIN_COMPONENT,EXW VGM Filing (YANTAI),44.00,USD,Per Container,YANTAI,YANTAI port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1634,ORIGIN_COMPONENT,EXW Seal Fee (YANTAI),36.00,USD,Per Container,YANTAI,YANTAI port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1635,ORIGIN_COMPONENT,EXW Export Documentation (YANTAI),68.00,USD,Per Container,YANTAI,YANTAI port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (YANTAI),92.00,USD,Per Container,YANTAI,YANTAI port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (YANTAI),115.00,USD,Per Container,YANTAI,YANTAI port,1637,,2025-01-01,CLIENT_RATE_CARD
DTERM-1505,DEST_TERMINAL,Destination Terminal Handling,248.00,USD,Per Container,,,1505,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1601,OTHER,Origin Handling,162.00,USD,Per Container,,,1601,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1620,OTHER,Bill of Lading Fee,72.00,USD,Per Container,,,1620,,2025-01-01,CLIENT_RATE_CARD
CONSOL-CFS_DRAYAGE,CONSOLIDATION,"Warehouse to Qingdao/Chennai port, per container",340.00,USD,Per Container,,,CFS_DRAYAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_FREE_DAYS,CONSOLIDATION,Free storage period before storage bills,5.00,USD,Days,,,CFS_FREE_DAYS,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_HANDLING,CONSOLIDATION,Warehouse handling per container built,1085.00,USD,Per Container,,,CFS_HANDLING,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_INBOUND,CONSOLIDATION,"Receiving an inbound delivery: unload, check, put away",165.00,USD,Per Inbound Delivery,,,CFS_INBOUND,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_STORAGE,CONSOLIDATION,Storage beyond the free period,0.52,USD,Per CBM Per Day,,,CFS_STORAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-DECONSOL,CONSOLIDATION,Destination strip and onward local delivery,860.00,USD,Per Extra Site,,,DECONSOL,,2025-01-01,QUOTED_NOT_YET_BOUGHT
